"Nome","Denominação","Pastor","Endereço","Bairro","Cidade","Estado","Telefone","Email","Latitude","Longitude","Observações","Cadastrado em","Cadastrado por"
"ADVEC Guarulhos","ADVEC","Pr Sergio Filho","Rua Guarulhos, 579","Gopoúva","Guarulhos","SP","11971636447","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Corpus","Própria","Pra Tania e Pr Carlos","Rua Corina, 109","Jardim Madeirense","Guarulhos","SP","","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"A Casa da Rocha - Guarulho","Própria","Zé Bruno","Avenida Papa Pio XII, 195","Macedo","Guarulhos","SP","011956520227","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja boa notícia de Guarulhos","Própria","Pastor","Rua Claudino Barbosa, 132","Macedo","Guarulhos","SP","","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Nasci Pra Deus","Própria","Nei Messias","Avenida Monteiro Lobato, 1522","Macedo","Guarulhos","SP","01149694545","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Apresentando as Nações para cristo","Própria","Pastor","1027, Av. Monteiro Lobato, 965, 1027","Macedo","Guarulhos","SP","","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia de Santo Antônio de Sant’Anna Galvão","Católica","Padre","Rua Bispo E Martins, 17","Jardim Keralux","São Paulo","SP","01122148384","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Capela do Rosário - Igreja de Nossa Senhora do Rosário Mãe dos Homens Pretos e São Benedito","Católica","Padre","Praça do Rosário","Centro","Guarulhos","SP","01124092101","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Messianica Mundial do Brasil","Messianica","Pastor","Rua Cabo Antônio Pereira da Silva, 829","Jardim Tranqüilidade","Guarulhos","SP","(11) 2229-0450","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Johrei Center Guarulhos","Própria","","Alameda Tutóia, 363","Gopoúva","Guarulhos","SP","","","-23.4538","-46.5333","","06/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia São Paulo Apóstolo","Católica","Padre","Rua Sarutaia, 537","Jardim São Paulo","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia São Roque","Católica","Padre","Avenida Monteiro Lobato, 3184","Vila Miriam","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia São Roque","Católica","Padre","Avenida Monteiro Lobato, 3184","Vila Miriam","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Assembleia de Deus Madureira (Sub Congregação)","Ass. Deus Madureira","Pastor","Rua Nicolau Falci, 22","Jardim Adriana","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Mundial do Poder de Deus","Mundial","Pastor","Avenida Benjamin Harris Hunnicutt, 1526","Portal dos Gramados","Guarulhos","SP","(11) 3488-3050","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia Menino Jesus de Vila Rio","Católica","Padre","Rua Trajano de Morais, 55","Vila Itapoan","Guarulhos","SP","(11) 2457-1957","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Evangélica Avivamento Bíblico","Avivamento Biblico","Pastor","Avenida Brigadeiro Faria Lima, 374","Cocaia","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Capela Santa Edwiges","Católica","Padre","Rua Vítor Costa, 17","Jardim Paraventi","Guarulhos","SP","","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Capela São José (Paróquia N. S. Aparecida)","Católica","Padre","Avenida Gilberto Dini, 595","Jardim Bom Clima","Guarulhos","SP","(11) 2408-2996","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Videira Guarulhos","Videira","Pastor","Avenida Papa Pio XII, 866","Macedo","Guarulhos","SP","(11) 94070-8034","","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Paróquia Nossa Senhora Aparecida","Católica","Padre","Avenida Tiradentes, 2504","Macedo","Guarulhos","SP","(11) 96328-0229","igreja@gmail.com","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Catedral Diocesana Nossa Senhora da Conceição","Católica","Padre","Praça Tereza Cristina, 1","Centro","Guarulhos","SP","(11) 2409-2101","diocese@gmail.com","-23.4538","-46.5333","","05/08/2026","Auto:Pr. Bernard - Zona 176"
"Igreja Batista  pimentas","","","Rua Pão de Açúcar, 8","Jardim dos Pimentas","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Nasci pra Deus","","","Rua Joaquim Moreira, 513","Parque São Miguel","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja de Cristo pimentas","","","Rua Porto Alegre, 52","Parque Jandaia","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja de Cristo pimentas","","","Rua Porto Alegre, 52","Parque Jandaia","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja pentecostes MUP pimentas","","","Rua Gentio do Ouro, 281","Cidade Tupinambá","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja evangelica Comunidade da Fe","","","Rua Victorino Bento Lorena da Silva, 263","Jardim Angélica","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja evangélica  Família de Deus","","","Rua Feira Grande, 778","Jardim Brasil","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Ministerio Apostólico Semear","","","Rua 6, 43","Conjunto Marcos Freire","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Época de graca","","Rua Filomeno Bernie Mendes, 93","Jardim Angélica","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja internacional da graça","","","Estrada Presidente Juscelino Kubitschek de Oliveira, 3009","Parque São Miguel","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja universal","","","Estrada Presidente Juscelino Kubitschek de Oliveira, 2094","Parque São Miguel","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de","Madureira","","Rua Jaboatão, 175","Jardim dos Pimentas","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Ministerio kharisma","","","Estrada Municipal, 124","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja evangélica do poder de Deus","Visão internacional","","Avenida Circular, 145","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja evangélica","","","Avenida Medeiros Neto, 125","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","","","Avenida Medeiros Neto, 53","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Unidos por cristo","","Estrada Água Chata, 1101","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Congregação","","Rua Miguel Alves, 249","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Vila Dinamarca","","Estrada Água Chata, 3756","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Ministerio da reconciliação","","Estrada Água Chata, 872","Água Chata","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Para todas as Nacoes","","Rua André Paperini, 516","Jardim Angélica","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Belém","","Rua da Pátria, 14","Jardim Vermelhão","Guarulhos","SP","","","-23.4538","-46.5333","","03/08/2026","Auto:Fernando -Zona 185"
"Igreja pentecostes Jesus Cristo","Coluna de fogo","","Rua Belo Horizonte, 270","Parque Jandaia","Guarulhos","SP","","","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Comunidade cristã amai","","","Rua Porto Alegre, 174","Parque Jandaia","Guarulhos","SP","","comunidafecrista@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja evangélica vidas em Cristo","","","Rua Belo Horizonte, 324","Parque Jandaia","Guarulhos","SP","","","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja pentecostes Plder de Deus","","","Rua Belo Horizonte, 63","Parque Jandaia","Guarulhos","SP","","podededeus@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja pentescostal Plenitude em Cristo","","","Rua João Pessoa, 237","Parque Jandaia","Guarulhos","SP","","plenitudecomdeus@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja Restauração","","","Estrada Água Chata, 495","Água Chata","Guarulhos","SP","","igrejarestauracao@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"ComunidadeEvangelica Liriosdo campo","","","Rua Padre Dorindo de Oliveira Matias, 122","Sítio São Francisco","Guarulhos","SP","","liriosdovampo@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Ministerio missões","","Rua Charles Miars Cooper, 190","Parque Maria Helena","Guarulhos","SP","","assembleiadedeusmissoes@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja Petecostal Deus na terra","","","Rua Charles Miars Cooper, 185","Parque Maria Helena","Guarulhos","SP","","","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Tabernáculo Brasil para Cristo","","","Rua Malhador, 102","Parque Maria Helena","Guarulhos","SP","","tabernaculobrasil@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja missão resgatado","Restaurando vidas","","Rua Macambira, 25","Parque Maria Helena","Guarulhos","SP","","restaurandovida@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Sao Rafael","","Avenida: Norte Sul, 267","Sítio São Francisco","Guarulhos","SP","","assembleiadedeussaoragael@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja pentecostes Reino de Deus","","","Rua Marielle Francisco da Silva, 267","Sítio São Francisco","Guarulhos","SP","","igrejapentecostalreinodedeus@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus Belém","","","Rua Marielle Francisco da Silva, 415","Sítio São Francisco","Guarulhos","SP","","assembleiadedeusregiao49@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Madureira","","Rua Jardim Repouso São Francisco, 156","Parque Maria Helena","Guarulhos","SP","","asembleiadedeus49@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Igreja Batista Agape","","","Rua jardim repouso são francisco, 70","Bairro dos pimentas","Guerulhos","SP","","ibapagape@gmail.com","-23.4538","-46.5333","","29/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Sao Mateus","","Rua  Seis , 43","Parque Brasília","Guarulhos","SP","11947289047","assem.leiasaomateus@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Sao Mateus","","Rua  Seis , 43","Parque Brasília","Guarulhos","SP","11947289047","assem.leiasaomateus@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Assembleia de Deus","Ipiranga","","Rua Mirabela, 376","Cidade Parque Brasília","Guarulhos","SP","","assembleiaipiranga@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Mknisterio Alvo","","","Rua Mirabela, 64","Cidade Parque Brasília","Guarulhos","SP","","ministerioalvo@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Gerados pela Palavra","","","Rua Felisburgo, 323","Cidade Parque Alvorada","Guarulhos","SP","","gerados@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Tabernáculo o Brasil para Cristo","","","Rua Santa Maria do salto , 323","Parque das Nações","Guarulhos","SP","","","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Des e amor","","","Rua Sete , 41","Parque Brasília","Guarulhos","SP","","deseamor.brasili@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"Des e amor","","","Rua Sete , 41","Parque Brasília","Guarulhos","SP","","deseamor.brasili@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
"O Brasil para cristo","","","Rua Berilo, 269","Cidade Parque Brasília","Guarulhos","SP","","brasilparacrisro1@gmail.com","-23.4538","-46.5333","","28/07/2026","Auto:Fernando -Zona 185"
