codigo_curto,municipio,uf,codigo_ibge,observacoes
ADAM,Adamantina,SP,3500105,
ADOL,Adolfo,SP,3500204,
AGUA,Aguaí,SP,3500303,
APAGU,Águas da Prata,SP,3500402,
ALAGU,Águas de Lindóia,SP,3500501,
ASB,Águas de Santa Bárbara,SP,3500550,
ASP,Águas de São Pedro,SP,3500600,
AGUD,Agudos,SP,3500709,
ALAM,Alambari,SP,3500758,
AMALF,Alfredo Marcondes,SP,3500808,
ALTA,Altair,SP,3500907,
ALTI,Altinópolis,SP,3501004,
AAALT,Alto Alegre,SP,3501103,
ALUM,Alumínio,SP,3501152,
AFALV,Álvares Florence,SP,3501202,
AMALV,Álvares Machado,SP,3501301,
ACALV,Álvaro de Carvalho,SP,3501400,
ALVI,Alvinlândia,SP,3501509,
AMER,Americana,SP,3501608,
ABAME,Américo Brasiliense,SP,3501707,
ACAME,Américo de Campos,SP,3501806,
AMPA,Amparo,SP,3501905,
ANAL,Analândia,SP,3502002,
ANDR,Andradina,SP,3502101,
ANGA,Angatuba,SP,3502200,
ANHE,Anhembi,SP,3502309,
ANHU,Anhumas,SP,3502408,
APAR,Aparecida,SP,3502507,
ADO,Aparecida d'Oeste,SP,3502606,
APIA,Apiaí,SP,3502705,
ARAC,Araçariguama,SP,3502754,
ARAC1,Araçatuba,SP,3502804,
ASARA,Araçoiaba da Serra,SP,3502903,
ARAM,Aramina,SP,3503000,
ARAN,Arandu,SP,3503109,
ARAP,Arapeí,SP,3503158,
ARAR,Araraquara,SP,3503208,
ARAR1,Araras,SP,3503307,
AIARC,Arco-Íris,SP,3503356,
AREA,Arealva,SP,3503406,
AREI,Areias,SP,3503505,
AREI1,Areiópolis,SP,3503604,
ARIR,Ariranha,SP,3503703,
ANART,Artur Nogueira,SP,3503802,
ARUJ,Arujá,SP,3503901,
ASPA,Aspásia,SP,3503950,
ASSI,Assis,SP,3504008,
ATIB,Atibaia,SP,3504107,
AURI,Auriflama,SP,3504206,
AVAI,Avaí,SP,3504305,
AVAN,Avanhandava,SP,3504404,
AVAR,Avaré,SP,3504503,
BBBAD,Bady Bassitt,SP,3504602,
BALB,Balbinos,SP,3504701,
BALS,Bálsamo,SP,3504800,
BANA,Bananal,SP,3504909,
BABAR,Barão de Antonina,SP,3505005,
BARB,Barbosa,SP,3505104,
BARI,Bariri,SP,3505203,
BBBAR,Barra Bonita,SP,3505302,
BCBAR,Barra do Chapéu,SP,3505351,
BTBAR,Barra do Turvo,SP,3505401,
BARR,Barretos,SP,3505500,
BARR1,Barrinha,SP,3505609,
BARU,Barueri,SP,3505708,
BAST,Bastos,SP,3505807,
BATA,Batatais,SP,3505906,
BAUR,Bauru,SP,3506003,
BEBE,Bebedouro,SP,3506102,
BABEN,Bento de Abreu,SP,3506201,
BCBER,Bernardino de Campos,SP,3506300,
BERT,Bertioga,SP,3506359,
BILA,Bilac,SP,3506409,
BIRI,Birigui,SP,3506508,
BMBIR,Biritiba Mirim,SP,3506607,
BES,Boa Esperança do Sul,SP,3506706,
BOCA,Bocaina,SP,3506805,
BOFE,Bofete,SP,3506904,
BOIT,Boituva,SP,3507001,
BJP,Bom Jesus dos Perdões,SP,3507100,
BSI,Bom Sucesso de Itararé,SP,3507159,
BORA,Borá,SP,3507209,
BORA1,Boracéia,SP,3507308,
BORB,Borborema,SP,3507407,
BORE,Borebi,SP,3507456,
BOTU,Botucatu,SP,3507506,
BPBRA,Bragança Paulista,SP,3507605,
BRAU,Braúna,SP,3507704,
BABRE,Brejo Alegre,SP,3507753,
BROD,Brodowski,SP,3507803,
BROT,Brotas,SP,3507902,
BURI,Buri,SP,3508009,
BURI1,Buritama,SP,3508108,
BURI2,Buritizal,SP,3508207,
CPCAB,Cabrália Paulista,SP,3508306,
CABR,Cabreúva,SP,3508405,
CACA,Caçapava,SP,3508504,
CPCAC,Cachoeira Paulista,SP,3508603,
CACO,Caconde,SP,3508702,
CAFE,Cafelândia,SP,3508801,
CAIA,Caiabu,SP,3508900,
CAIE,Caieiras,SP,3509007,
CAIU,Caiuá,SP,3509106,
CAJA,Cajamar,SP,3509205,
CAJA1,Cajati,SP,3509254,
CAJO,Cajobi,SP,3509304,
CAJU,Cajuru,SP,3509403,
CMA,Campina do Monte Alegre,SP,3509452,
CAMP,Campinas,SP,3509502,
CLP,Campo Limpo Paulista,SP,3509601,
CJCAM,Campos do Jordão,SP,3509700,
CNP,Campos Novos Paulista,SP,3509809,
CANA,Cananéia,SP,3509908,
CANA1,Canas,SP,3509957,
CMCAN,Cândido Mota,SP,3510005,
CRCAN,Cândido Rodrigues,SP,3510104,
CANI,Canitar,SP,3510153,
CBCAP,Capão Bonito,SP,3510203,
CACAP,Capela do Alto,SP,3510302,
CAPI,Capivari,SP,3510401,
CARA,Caraguatatuba,SP,3510500,
CARA1,Carapicuíba,SP,3510609,
CARD,Cardoso,SP,3510708,
CBCAS,Casa Branca,SP,3510807,
CCCAS,Cássia dos Coqueiros,SP,3510906,
CAST,Castilho,SP,3511003,
CATA,Catanduva,SP,3511102,
CATI,Catiguá,SP,3511201,
CEDR,Cedral,SP,3511300,
CCCER,Cerqueira César,SP,3511409,
CERQ,Cerquilho,SP,3511508,
CLCES,Cesário Lange,SP,3511607,
CHAR,Charqueada,SP,3511706,
CLEM,Clementina,SP,3511904,
COLI,Colina,SP,3512001,
COLO,Colômbia,SP,3512100,
CONC,Conchal,SP,3512209,
CONC1,Conchas,SP,3512308,
CORD,Cordeirópolis,SP,3512407,
CORO,Coroados,SP,3512506,
CMCOR,Coronel Macedo,SP,3512605,
CORU,Corumbataí,SP,3512704,
COSM,Cosmópolis,SP,3512803,
COSM1,Cosmorama,SP,3512902,
COTI,Cotia,SP,3513009,
CRAV,Cravinhos,SP,3513108,
CPCRI,Cristais Paulista,SP,3513207,
CRUZ,Cruzália,SP,3513306,
CRUZ1,Cruzeiro,SP,3513405,
CUBA,Cubatão,SP,3513504,
CUNH,Cunha,SP,3513603,
DESC,Descalvado,SP,3513702,
DIAD,Diadema,SP,3513801,
DRDIR,Dirce Reis,SP,3513850,
DIVI,Divinolândia,SP,3513900,
DOBR,Dobrada,SP,3514007,
DCDOI,Dois Córregos,SP,3514106,
DOLC,Dolcinópolis,SP,3514205,
DOUR,Dourado,SP,3514304,
DRAC,Dracena,SP,3514403,
DUAR,Duartina,SP,3514502,
DUMO,Dumont,SP,3514601,
ECHA,Echaporã,SP,3514700,
ELDO,Eldorado,SP,3514809,
EFELI,Elias Fausto,SP,3514908,
ELIS,Elisiário,SP,3514924,
EMBA,Embaúba,SP,3514957,
EAEMB,Embu das Artes,SP,3515004,
EGEMB,Embu-Guaçu,SP,3515103,
EMIL,Emilianópolis,SP,3515129,
ECENG,Engenheiro Coelho,SP,3515152,
ESP,Espírito Santo do Pinhal,SP,3515186,
EST,Espírito Santo do Turvo,SP,3515194,
EDO,Estrela d'Oeste,SP,3515202,
ENEST,Estrela do Norte,SP,3515301,
ECP,Euclides da Cunha Paulista,SP,3515350,
FART,Fartura,SP,3515400,
FERN,Fernandópolis,SP,3515509,
FPFER,Fernando Prestes,SP,3515608,
FERN1,Fernão,SP,3515657,
FVFER,Ferraz de Vasconcelos,SP,3515707,
FRFLO,Flora Rica,SP,3515806,
FLOR,Floreal,SP,3515905,
FPFLO,Flórida Paulista,SP,3516002,
FLOR1,Florínea,SP,3516101,
FRAN,Franca,SP,3516200,
FMFRA,Francisco Morato,SP,3516309,
FRFRA,Franco da Rocha,SP,3516408,
GMGAB,Gabriel Monteiro,SP,3516507,
GALI,Gália,SP,3516606,
GARC,Garça,SP,3516705,
GVGAS,Gastão Vidigal,SP,3516804,
GPGAV,Gavião Peixoto,SP,3516853,
GSGEN,General Salgado,SP,3516903,
GETU,Getulina,SP,3517000,
GLIC,Glicério,SP,3517109,
GUAI,Guaiçara,SP,3517208,
GUAI1,Guaimbê,SP,3517307,
GUAI2,Guaíra,SP,3517406,
GUAP,Guapiaçu,SP,3517505,
GUAP1,Guapiara,SP,3517604,
GUAR,Guará,SP,3517703,
GUAR1,Guaraçaí,SP,3517802,
GUAR2,Guaraci,SP,3517901,
GDO,Guarani d'Oeste,SP,3518008,
GUAR3,Guarantã,SP,3518107,
GUAR4,Guararapes,SP,3518206,
GUAR5,Guararema,SP,3518305,
GUAR6,Guaratinguetá,SP,3518404,
GUAR7,Guareí,SP,3518503,
GUAR8,Guariba,SP,3518602,
GUAR9,Guarujá,SP,3518701,
GUAR0,Guarulhos,SP,3518800,
GUAT,Guatapará,SP,3518859,
GUZO,Guzolândia,SP,3518909,
HERC,Herculândia,SP,3519006,
HOLA,Holambra,SP,3519055,
HORT,Hortolândia,SP,3519071,
IACA,Iacanga,SP,3519105,
IACR,Iacri,SP,3519204,
IARA,Iaras,SP,3519253,
IBAT,Ibaté,SP,3519303,
IBIR,Ibirá,SP,3519402,
IBIR1,Ibirarema,SP,3519501,
IBIT,Ibitinga,SP,3519600,
IBIU,Ibiúna,SP,3519709,
ICEM,Icém,SP,3519808,
IEPE,Iepê,SP,3519907,
ITIGA,Igaraçu do Tietê,SP,3520004,
IGAR,Igarapava,SP,3520103,
IGAR1,Igaratá,SP,3520202,
IGUA,Iguape,SP,3520301,
ILHA,Ilhabela,SP,3520400,
ICILH,Ilha Comprida,SP,3520426,
ISILH,Ilha Solteira,SP,3520442,
INDA,Indaiatuba,SP,3520509,
INDI,Indiana,SP,3520608,
INDI1,Indiaporã,SP,3520707,
IPINU,Inúbia Paulista,SP,3520806,
IPAU,Ipaussu,SP,3520905,
IPER,Iperó,SP,3521002,
IPEU,Ipeúna,SP,3521101,
IPIG,Ipiguá,SP,3521150,
IPOR,Iporanga,SP,3521200,
IPUA,Ipuã,SP,3521309,
IRAC,Iracemápolis,SP,3521408,
IRAP,Irapuã,SP,3521507,
IRAP1,Irapuru,SP,3521606,
ITAB,Itaberá,SP,3521705,
ITAI,Itaí,SP,3521804,
ITAJ,Itajobi,SP,3521903,
ITAJ1,Itaju,SP,3522000,
ITAN,Itanhaém,SP,3522109,
ITAO,Itaoca,SP,3522158,
ISITA,Itapecerica da Serra,SP,3522208,
ITAP,Itapetininga,SP,3522307,
ITAP1,Itapeva,SP,3522406,
ITAP2,Itapevi,SP,3522505,
ITAP3,Itapira,SP,3522604,
IPITA,Itapirapuã Paulista,SP,3522653,
ITAP4,Itápolis,SP,3522703,
ITAP5,Itaporanga,SP,3522802,
ITAP6,Itapuí,SP,3522901,
ITAP7,Itapura,SP,3523008,
ITAQ,Itaquaquecetuba,SP,3523107,
ITAR,Itararé,SP,3523206,
ITAR1,Itariri,SP,3523305,
ITAT,Itatiba,SP,3523404,
ITAT1,Itatinga,SP,3523503,
ITIR,Itirapina,SP,3523602,
ITIR1,Itirapuã,SP,3523701,
ITOB,Itobi,SP,3523800,
ITU,Itu,SP,3523909,
ITUP,Itupeva,SP,3524006,
ITUV,Ituverava,SP,3524105,
JABO,Jaborandi,SP,3524204,
JABO1,Jaboticabal,SP,3524303,
JACA,Jacareí,SP,3524402,
JACI,Jaci,SP,3524501,
JACU,Jacupiranga,SP,3524600,
JAGU,Jaguariúna,SP,3524709,
JALE,Jales,SP,3524808,
JAMB,Jambeiro,SP,3524907,
JAND,Jandira,SP,3525003,
JARD,Jardinópolis,SP,3525102,
JARI,Jarinu,SP,3525201,
JAU,Jaú,SP,3525300,
JERI,Jeriquara,SP,3525409,
JOAN,Joanópolis,SP,3525508,
JRJOA,João Ramalho,SP,3525607,
JBJOS,José Bonifácio,SP,3525706,
JMJUL,Júlio Mesquita,SP,3525805,
JUMI,Jumirim,SP,3525854,
JUND,Jundiaí,SP,3525904,
JUNQ,Junqueirópolis,SP,3526001,
JUQU,Juquiá,SP,3526100,
JUQU1,Juquitiba,SP,3526209,
LAGO,Lagoinha,SP,3526308,
LPLAR,Laranjal Paulista,SP,3526407,
LAVI,Lavínia,SP,3526506,
LAVR,Lavrinhas,SP,3526605,
LEME,Leme,SP,3526704,
LPLEN,Lençóis Paulista,SP,3526803,
LIME,Limeira,SP,3526902,
LIND,Lindóia,SP,3527009,
LINS,Lins,SP,3527108,
LORE,Lorena,SP,3527207,
LOUR,Lourdes,SP,3527256,
LOUV,Louveira,SP,3527306,
LUCE,Lucélia,SP,3527405,
LUCI,Lucianópolis,SP,3527504,
LALUI,Luís Antônio,SP,3527603,
LUIZ,Luiziânia,SP,3527702,
LUPE,Lupércio,SP,3527801,
LUTE,Lutécia,SP,3527900,
MACA,Macatuba,SP,3528007,
MACA1,Macaubal,SP,3528106,
MACE,Macedônia,SP,3528205,
MAGD,Magda,SP,3528304,
MAIR,Mairinque,SP,3528403,
MAIR1,Mairiporã,SP,3528502,
MAND,Manduri,SP,3528601,
MPMAR,Marabá Paulista,SP,3528700,
MARA,Maracaí,SP,3528809,
MARA1,Marapoama,SP,3528858,
MARI,Mariápolis,SP,3528908,
MARI1,Marília,SP,3529005,
MARI2,Marinópolis,SP,3529104,
MART,Martinópolis,SP,3529203,
MATA,Matão,SP,3529302,
MAUA,Mauá,SP,3529401,
MEND,Mendonça,SP,3529500,
MERI,Meridiano,SP,3529609,
MESO,Mesópolis,SP,3529658,
MIGU,Miguelópolis,SP,3529708,
MTMIN,Mineiros do Tietê,SP,3529807,
MIRA,Miracatu,SP,3529906,
MEMIR,Mira Estrela,SP,3530003,
MIRA1,Mirandópolis,SP,3530102,
MPMIR,Mirante do Paranapanema,SP,3530201,
MIRA2,Mirassol,SP,3530300,
MIRA3,Mirassolândia,SP,3530409,
MOCO,Mococa,SP,3530508,
MCMOG,Mogi das Cruzes,SP,3530607,
MGMOG,Mogi Guaçu,SP,3530706,
MMMOG,Mogi Mirim,SP,3530805,
MOMB,Mombuca,SP,3530904,
MONC,Monções,SP,3531001,
MONG,Mongaguá,SP,3531100,
MAS,Monte Alegre do Sul,SP,3531209,
MAMON,Monte Alto,SP,3531308,
MAPRA,Monte Aprazível,SP,3531407,
MAP,Monte Azul Paulista,SP,3531506,
MCMON,Monte Castelo,SP,3531605,
MLMON,Monteiro Lobato,SP,3531704,
MMMON,Monte Mor,SP,3531803,
MAMOR,Morro Agudo,SP,3531902,
MORU,Morungaba,SP,3532009,
MOTU,Motuca,SP,3532058,
MSMUR,Murutinga do Sul,SP,3532108,
NANT,Nantes,SP,3532157,
NARA,Narandiba,SP,3532207,
NSNAT,Natividade da Serra,SP,3532306,
NPNAZ,Nazaré Paulista,SP,3532405,
NPNEV,Neves Paulista,SP,3532504,
NHAN,Nhandeara,SP,3532603,
NIPO,Nipoã,SP,3532702,
NANOV,Nova Aliança,SP,3532801,
NCNOV,Nova Campina,SP,3532827,
NCP,Nova Canaã Paulista,SP,3532843,
NCAST,Nova Castilho,SP,3532868,
NENOV,Nova Europa,SP,3532900,
NGNOV,Nova Granada,SP,3533007,
NGUAT,Nova Guataporanga,SP,3533106,
NINOV,Nova Independência,SP,3533205,
NOVA,Novais,SP,3533254,
NLNOV,Nova Luzitânia,SP,3533304,
NONOV,Nova Odessa,SP,3533403,
NHNOV,Novo Horizonte,SP,3533502,
NUPO,Nuporanga,SP,3533601,
OCAU,Ocauçu,SP,3533700,
OLEO,Óleo,SP,3533809,
OLIM,Olímpia,SP,3533908,
OVOND,Onda Verde,SP,3534005,
ORIE,Oriente,SP,3534104,
ORIN,Orindiúva,SP,3534203,
ORLA,Orlândia,SP,3534302,
OSAS,Osasco,SP,3534401,
OBOSC,Oscar Bressane,SP,3534500,
OCOSV,Osvaldo Cruz,SP,3534609,
OURI,Ourinhos,SP,3534708,
OURO,Ouroeste,SP,3534757,
OVOUR,Ouro Verde,SP,3534807,
PACA,Pacaembu,SP,3534906,
PALE,Palestina,SP,3535002,
PPPAL,Palmares Paulista,SP,3535101,
PDO,Palmeira d'Oeste,SP,3535200,
PALM,Palmital,SP,3535309,
PANO,Panorama,SP,3535408,
PPPAR,Paraguaçu Paulista,SP,3535507,
PARA,Paraibuna,SP,3535606,
PARA1,Paraíso,SP,3535705,
PARA2,Paranapanema,SP,3535804,
PARA3,Paranapuã,SP,3535903,
PARA4,Parapuã,SP,3536000,
PARD,Pardinho,SP,3536109,
PAPAR,Pariquera-Açu,SP,3536208,
PARI,Parisi,SP,3536257,
PPPAT,Patrocínio Paulista,SP,3536307,
PAUL,Paulicéia,SP,3536406,
PAUL1,Paulínia,SP,3536505,
PAUL2,Paulistânia,SP,3536570,
PFPAU,Paulo de Faria,SP,3536604,
PEDE,Pederneiras,SP,3536703,
PBPED,Pedra Bela,SP,3536802,
PEDR,Pedranópolis,SP,3536901,
PEDR1,Pedregulho,SP,3537008,
PEDR2,Pedreira,SP,3537107,
PPPED,Pedrinhas Paulista,SP,3537156,
PTPED,Pedro de Toledo,SP,3537206,
PENA,Penápolis,SP,3537305,
PBPER,Pereira Barreto,SP,3537404,
PERE,Pereiras,SP,3537503,
PERU,Peruíbe,SP,3537602,
PIAC,Piacatu,SP,3537701,
PIED,Piedade,SP,3537800,
PSPIL,Pilar do Sul,SP,3537909,
PIND,Pindamonhangaba,SP,3538006,
PIND1,Pindorama,SP,3538105,
PINH,Pinhalzinho,SP,3538204,
PIQU,Piquerobi,SP,3538303,
PIQU1,Piquete,SP,3538501,
PIRA,Piracaia,SP,3538600,
PIRA1,Piracicaba,SP,3538709,
PIRA2,Piraju,SP,3538808,
PIRA3,Pirajuí,SP,3538907,
PIRA4,Pirangi,SP,3539004,
PBJ,Pirapora do Bom Jesus,SP,3539103,
PIRA5,Pirapozinho,SP,3539202,
PIRA6,Pirassununga,SP,3539301,
PIRA7,Piratininga,SP,3539400,
PITA,Pitangueiras,SP,3539509,
PLAN,Planalto,SP,3539608,
PLAT,Platina,SP,3539707,
POA,Poá,SP,3539806,
POLO,Poloni,SP,3539905,
POMP,Pompéia,SP,3540002,
PONG,Pongaí,SP,3540101,
PONT,Pontal,SP,3540200,
PONT1,Pontalinda,SP,3540259,
PGPON,Pontes Gestal,SP,3540309,
POPU,Populina,SP,3540408,
PORA,Porangaba,SP,3540507,
PFPOR,Porto Feliz,SP,3540606,
PFERR,Porto Ferreira,SP,3540705,
POTI,Potim,SP,3540754,
POTI1,Potirendaba,SP,3540804,
